year;state;month;number;date;;
2014;Distrito Federal;Apr;2;2014;Abril;
2015;Distrito Federal;Apr;0;2015;Abril;
2016;Distrito Federal;Apr;5;2016;Abril;
2017;Distrito Federal;Apr;1;2017;Abril;
1998;Distrito Federal;May;0;1998;Maio;
1999;Distrito Federal;May;0;1999;Maio;
2000;Distrito Federal;May;2;2000;Maio;
2001;Distrito Federal;May;0;2001;Maio;
2002;Distrito Federal;May;1;2002;Maio;
2003;Distrito Federal;May;0;2003;Maio;
2004;Distrito Federal;May;9;2004;Maio;
2005;Distrito Federal;May;2;2005;Maio;
2006;Distrito Federal;May;3;2006;Maio;
2007;Distrito Federal;May;4;2007;Maio;
2008;Distrito Federal;May;6;2008;Maio;
2009;Distrito Federal;May;9;2009;Maio;
2010;Distrito Federal;May;23;2010;Maio;
2011;Distrito Federal;May;3;2011;Maio;
2012;Distrito Federal;May;0;2012;Maio;
2013;Distrito Federal;May;2;2013;Maio;
2014;Distrito Federal;May;9;2014;Maio;
2015;Distrito Federal;May;2;2015;Maio;
2016;Distrito Federal;May;15;2016;Maio;
2017;Distrito Federal;May;6;2017;Maio;
1998;Distrito Federal;June;2;1998;Junho;
1999;Distrito Federal;June;3;1999;Junho;
2000;Distrito Federal;June;1;2000;Junho;
2001;Distrito Federal;June;3;2001;Junho;
2002;Distrito Federal;June;7;2002;Junho;
2003;Distrito Federal;June;11;2003;Junho;
2004;Distrito Federal;June;6;2004;Junho;
2005;Distrito Federal;June;3;2005;Junho;
2006;Distrito Federal;June;2;2006;Junho;
2007;Distrito Federal;June;21;2007;Junho;
2008;Distrito Federal;June;0;2008;Junho;
2009;Distrito Federal;June;4;2009;Junho;
2010;Distrito Federal;June;21;2010;Junho;
2011;Distrito Federal;June;18;2011;Junho;
2012;Distrito Federal;June;6;2012;Junho;
2013;Distrito Federal;June;4;2013;Junho;
2014;Distrito Federal;June;6;2014;Junho;
2015;Distrito Federal;June;1;2015;Junho;
2016;Distrito Federal;June;42;2016;Junho;
2017;Distrito Federal;June;23;2017;Junho;
1998;Distrito Federal;July;17;1998;Julho;
1999;Distrito Federal;July;4;1999;Julho;
2000;Distrito Federal;July;15;2000;Julho;
2001;Distrito Federal;July;22;2001;Julho;
2002;Distrito Federal;July;33;2002;Julho;
2003;Distrito Federal;July;19;2003;Julho;
2004;Distrito Federal;July;37;2004;Julho;
2005;Distrito Federal;July;24;2005;Julho;
2006;Distrito Federal;July;10;2006;Julho;
2007;Distrito Federal;July;25;2007;Julho;
2008;Distrito Federal;July;12;2008;Julho;
2009;Distrito Federal;July;33;2009;Julho;
2010;Distrito Federal;July;85;2010;Julho;
2011;Distrito Federal;July;53;2011;Julho;
2012;Distrito Federal;July;29;2012;Julho;
2013;Distrito Federal;July;22;2013;Julho;
2014;Distrito Federal;July;27;2014;Julho;
2015;Distrito Federal;July;15;2015;Julho;
2016;Distrito Federal;July;79;2016;Julho;
2017;Distrito Federal;July;44;2017;Julho;
1998;Distrito Federal;Aug;48;1998;Agosto;
1999;Distrito Federal;Aug;16;1999;Agosto;
2000;Distrito Federal;Aug;9;2000;Agosto;
2001;Distrito Federal;Aug;25;2001;Agosto;
2002;Distrito Federal;Aug;53;2002;Agosto;
2003;Distrito Federal;Aug;36;2003;Agosto;
2004;Distrito Federal;Aug;108;2004;Agosto;
2005;Distrito Federal;Aug;20;2005;Agosto;
2006;Distrito Federal;Aug;40;2006;Agosto;
2007;Distrito Federal;Aug;137;2007;Agosto;
2008;Distrito Federal;Aug;30;2008;Agosto;
2009;Distrito Federal;Aug;37;2009;Agosto;
2010;Distrito Federal;Aug;159;2010;Agosto;
2011;Distrito Federal;Aug;61;2011;Agosto;
2012;Distrito Federal;Aug;55;2012;Agosto;
2013;Distrito Federal;Aug;34;2013;Agosto;
2014;Distrito Federal;Aug;99;2014;Agosto;
2015;Distrito Federal;Aug;53;2015;Agosto;
2016;Distrito Federal;Aug;29;2016;Agosto;
2017;Distrito Federal;Aug;147;2017;Agosto;
1998;Distrito Federal;Sept;33;1998;Setembro;
1999;Distrito Federal;Sept;12;1999;Setembro;
2000;Distrito Federal;Sept;3;2000;Setembro;
2001;Distrito Federal;Sept;12;2001;Setembro;
2002;Distrito Federal;Sept;33;2002;Setembro;
2003;Distrito Federal;Sept;17;2003;Setembro;
2004;Distrito Federal;Sept;100;2004;Setembro;
2005;Distrito Federal;Sept;23;2005;Setembro;
2006;Distrito Federal;Sept;20;2006;Setembro;
2007;Distrito Federal;Sept;73;2007;Setembro;
2008;Distrito Federal;Sept;54;2008;Setembro;
2009;Distrito Federal;Sept;5;2009;Setembro;
2010;Distrito Federal;Sept;196;2010;Setembro;
2011;Distrito Federal;Sept;133;2011;Setembro;
2012;Distrito Federal;Sept;64;2012;Setembro;
2013;Distrito Federal;Sept;31;2013;Setembro;
2014;Distrito Federal;Sept;72;2014;Setembro;
2015;Distrito Federal;Sept;76;2015;Setembro;
2016;Distrito Federal;Sept;58;2016;Setembro;
2017;Distrito Federal;Sept;122;2017;Setembro;
1998;Distrito Federal;Oct;3;1998;Outubro;
1999;Distrito Federal;Oct;8;1999;Outubro;
2000;Distrito Federal;Oct;18;2000;Outubro;
2001;Distrito Federal;Oct;0;2001;Outubro;
2002;Distrito Federal;Oct;19;2002;Outubro;
2003;Distrito Federal;Oct;12;2003;Outubro;
2004;Distrito Federal;Oct;18;2004;Outubro;
2005;Distrito Federal;Oct;18;2005;Outubro;
2006;Distrito Federal;Oct;1;2006;Outubro;
2007;Distrito Federal;Oct;13;2007;Outubro;
2008;Distrito Federal;Oct;6;2008;Outubro;
2009;Distrito Federal;Oct;3;2009;Outubro;
2010;Distrito Federal;Oct;6;2010;Outubro;
2011;Distrito Federal;Oct;0;2011;Outubro;
2012;Distrito Federal;Oct;15;2012;Outubro;
2013;Distrito Federal;Oct;3;2013;Outubro;
2014;Distrito Federal;Oct;34;2014;Outubro;
2015;Distrito Federal;Oct;21;2015;Outubro;
2016;Distrito Federal;Oct;9;2016;Outubro;
2017;Distrito Federal;Oct;66;2017;Outubro;
1998;Distrito Federal;Nov;0;1998;Novembro;
1999;Distrito Federal;Nov;1;1999;Novembro;
2000;Distrito Federal;Nov;0;2000;Novembro;
2001;Distrito Federal;Nov;0;2001;Novembro;
2002;Distrito Federal;Nov;1;2002;Novembro;
2003;Distrito Federal;Nov;0;2003;Novembro;
2004;Distrito Federal;Nov;0;2004;Novembro;
2005;Distrito Federal;Nov;2;2005;Novembro;
2006;Distrito Federal;Nov;0;2006;Novembro;
2007;Distrito Federal;Nov;0;2007;Novembro;
2008;Distrito Federal;Nov;4;2008;Novembro;
2009;Distrito Federal;Nov;0;2009;Novembro;
2010;Distrito Federal;Nov;0;2010;Novembro;
2011;Distrito Federal;Nov;1;2011;Novembro;
2012;Distrito Federal;Nov;0;2012;Novembro;
2013;Distrito Federal;Nov;0;2013;Novembro;
2014;Distrito Federal;Nov;0;2014;Novembro;
2015;Distrito Federal;Nov;3;2015;Novembro;
2016;Distrito Federal;Nov;1;2016;Novembro;
2017;Distrito Federal;Nov;0;2017;Novembro;
1998;Distrito Federal;Dec;0;1998;Dezembro;
1999;Distrito Federal;Dec;0;1999;Dezembro;
2000;Distrito Federal;Dec;0;2000;Dezembro;
2001;Distrito Federal;Dec;1;2001;Dezembro;
2002;Distrito Federal;Dec;1;2002;Dezembro;
2003;Distrito Federal;Dec;0;2003;Dezembro;
2004;Distrito Federal;Dec;0;2004;Dezembro;
2005;Distrito Federal;Dec;0;2005;Dezembro;
2006;Distrito Federal;Dec;0;2006;Dezembro;
2007;Distrito Federal;Dec;0;2007;Dezembro;
2008;Distrito Federal;Dec;0;2008;Dezembro;
2009;Distrito Federal;Dec;0;2009;Dezembro;
2010;Distrito Federal;Dec;1;2010;Dezembro;
2011;Distrito Federal;Dec;0;2011;Dezembro;
2012;Distrito Federal;Dec;0;2012;Dezembro;
2013;Distrito Federal;Dec;2;2013;Dezembro;
2014;Distrito Federal;Dec;0;2014;Dezembro;
2015;Distrito Federal;Dec;0;2015;Dezembro;
2016;Distrito Federal;Dec;0;2016;Dezembro;
1998;Espirito Santo;Jan;0;1998;Janeiro;
1999;Espirito Santo;Jan;33;1999;Janeiro;
2000;Espirito Santo;Jan;5;2000;Janeiro;
2001;Espirito Santo;Jan;1;2001;Janeiro;
2002;Espirito Santo;Jan;2;2002;Janeiro;
2003;Espirito Santo;Jan;4;2003;Janeiro;
2004;Espirito Santo;Jan;1;2004;Janeiro;
2005;Espirito Santo;Jan;4;2005;Janeiro;
2006;Espirito Santo;Jan;13;2006;Janeiro;
2007;Espirito Santo;Jan;0;2007;Janeiro;
2008;Espirito Santo;Jan;12;2008;Janeiro;
2009;Espirito Santo;Jan;4;2009;Janeiro;
2010;Espirito Santo;Jan;52;2010;Janeiro;
2011;Espirito Santo;Jan;3;2011;Janeiro;
2012;Espirito Santo;Jan;1;2012;Janeiro;
2013;Espirito Santo;Jan;10;2013;Janeiro;
2014;Espirito Santo;Jan;11;2014;Janeiro;
2015;Espirito Santo;Jan;76;2015;Janeiro;
2016;Espirito Santo;Jan;43;2016;Janeiro;
2017;Espirito Santo;Jan;13;2017;Janeiro;
1998;Espirito Santo;Feb;0;1998;Fevereiro;
1999;Espirito Santo;Feb;10;1999;Fevereiro;
2000;Espirito Santo;Feb;5;2000;Fevereiro;
2001;Espirito Santo;Feb;5;2001;Fevereiro;
2002;Espirito Santo;Feb;4;2002;Fevereiro;
2003;Espirito Santo;Feb;11;2003;Fevereiro;
2004;Espirito Santo;Feb;5;2004;Fevereiro;
2005;Espirito Santo;Feb;1;2005;Fevereiro;
2006;Espirito Santo;Feb;45;2006;Fevereiro;
2007;Espirito Santo;Feb;3;2007;Fevereiro;
2008;Espirito Santo;Feb;20;2008;Fevereiro;
2009;Espirito Santo;Feb;12;2009;Fevereiro;
2010;Espirito Santo;Feb;15;2010;Fevereiro;
2011;Espirito Santo;Feb;42;2011;Fevereiro;
2012;Espirito Santo;Feb;25;2012;Fevereiro;
2013;Espirito Santo;Feb;15;2013;Fevereiro;
2014;Espirito Santo;Feb;17;2014;Fevereiro;
2015;Espirito Santo;Feb;60;2015;Fevereiro;
2016;Espirito Santo;Feb;24;2016;Fevereiro;
2017;Espirito Santo;Feb;8;2017;Fevereiro;
1998;Espirito Santo;Mar;0;1998;Março;
1999;Espirito Santo;Mar;8;1999;Março;
2000;Espirito Santo;Mar;1;2000;Março;
2001;Espirito Santo;Mar;2;2001;Março;
2002;Espirito Santo;Mar;4;2002;Março;
2003;Espirito Santo;Mar;28;2003;Março;
2004;Espirito Santo;Mar;3;2004;Março;
2005;Espirito Santo;Mar;3;2005;Março;
2006;Espirito Santo;Mar;14;2006;Março;
2007;Espirito Santo;Mar;9;2007;Março;
2008;Espirito Santo;Mar;5;2008;Março;
2009;Espirito Santo;Mar;11;2009;Março;
2010;Espirito Santo;Mar;3;2010;Março;
2011;Espirito Santo;Mar;5;2011;Março;
2012;Espirito Santo;Mar;35;2012;Março;
2013;Espirito Santo;Mar;13;2013;Março;
2014;Espirito Santo;Mar;15;2014;Março;
2015;Espirito Santo;Mar;25;2015;Março;
2016;Espirito Santo;Mar;107;2016;Março;
2017;Espirito Santo;Mar;9;2017;Março;
1998;Espirito Santo;Apr;0;1998;Abril;
1999;Espirito Santo;Apr;2;1999;Abril;
2000;Espirito Santo;Apr;3;2000;Abril;
2001;Espirito Santo;Apr;2;2001;Abril;
2002;Espirito Santo;Apr;2;2002;Abril;
2003;Espirito Santo;Apr;22;2003;Abril;
2004;Espirito Santo;Apr;0;2004;Abril;
2005;Espirito Santo;Apr;4;2005;Abril;
2006;Espirito Santo;Apr;1;2006;Abril;
2007;Espirito Santo;Apr;2;2007;Abril;
2008;Espirito Santo;Apr;8;2008;Abril;
2009;Espirito Santo;Apr;8;2009;Abril;
2010;Espirito Santo;Apr;7;2010;Abril;
2011;Espirito Santo;Apr;3;2011;Abril;
2012;Espirito Santo;Apr;74;2012;Abril;
2013;Espirito Santo;Apr;16;2013;Abril;
2014;Espirito Santo;Apr;15;2014;Abril;
2015;Espirito Santo;Apr;33;2015;Abril;
2016;Espirito Santo;Apr;57;2016;Abril;
2017;Espirito Santo;Apr;7;2017;Abril;
1998;Espirito Santo;May;0;1998;Maio;
1999;Espirito Santo;May;16;1999;Maio;
2000;Espirito Santo;May;2;2000;Maio;
2001;Espirito Santo;May;8;2001;Maio;
2002;Espirito Santo;May;5;2002;Maio;
2003;Espirito Santo;May;1;2003;Maio;
2004;Espirito Santo;May;0;2004;Maio;
2005;Espirito Santo;May;5;2005;Maio;
2006;Espirito Santo;May;0;2006;Maio;
2007;Espirito Santo;May;1;2007;Maio;
2008;Espirito Santo;May;2;2008;Maio;
2009;Espirito Santo;May;7;2009;Maio;
2010;Espirito Santo;May;3;2010;Maio;
2011;Espirito Santo;May;2;2011;Maio;
2012;Espirito Santo;May;20;2012;Maio;
2013;Espirito Santo;May;14;2013;Maio;
2014;Espirito Santo;May;18;2014;Maio;
2015;Espirito Santo;May;17;2015;Maio;
2016;Espirito Santo;May;48;2016;Maio;
2017;Espirito Santo;May;10;2017;Maio;
1998;Espirito Santo;June;6;1998;Junho;
1999;Espirito Santo;June;6;1999;Junho;
2000;Espirito Santo;June;9;2000;Junho;
2001;Espirito Santo;June;9;2001;Junho;
2002;Espirito Santo;June;18;2002;Junho;
2003;Espirito Santo;June;19;2003;Junho;
2004;Espirito Santo;June;3;2004;Junho;
2005;Espirito Santo;June;8;2005;Junho;
2006;Espirito Santo;June;5;2006;Junho;
2007;Espirito Santo;June;4;2007;Junho;
2008;Espirito Santo;June;4;2008;Junho;
2009;Espirito Santo;June;12;2009;Junho;
2010;Espirito Santo;June;3;2010;Junho;
2011;Espirito Santo;June;7;2011;Junho;
2012;Espirito Santo;June;15;2012;Junho;
2013;Espirito Santo;June;22;2013;Junho;
2014;Espirito Santo;June;9;2014;Junho;
2015;Espirito Santo;June;18;2015;Junho;
2016;Espirito Santo;June;49;2016;Junho;
2017;Espirito Santo;June;37;2017;Junho;
1998;Espirito Santo;July;37;1998;Julho;
1999;Espirito Santo;July;9;1999;Julho;
2000;Espirito Santo;July;16;2000;Julho;
2001;Espirito Santo;July;12;2001;Julho;
2002;Espirito Santo;July;9;2002;Julho;
2003;Espirito Santo;July;27;2003;Julho;
2004;Espirito Santo;July;4;2004;Julho;
2005;Espirito Santo;July;9;2005;Julho;
2006;Espirito Santo;July;11;2006;Julho;
2007;Espirito Santo;July;13;2007;Julho;
2008;Espirito Santo;July;5;2008;Julho;
2009;Espirito Santo;July;25;2009;Julho;
2010;Espirito Santo;July;5;2010;Julho;
2011;Espirito Santo;July;18;2011;Julho;
2012;Espirito Santo;July;35;2012;Julho;
2013;Espirito Santo;July;20;2013;Julho;
2014;Espirito Santo;July;17;2014;Julho;
2015;Espirito Santo;July;30;2015;Julho;
2016;Espirito Santo;July;42;2016;Julho;
2017;Espirito Santo;July;3;2017;Julho;
1998;Espirito Santo;Aug;38;1998;Agosto;
1999;Espirito Santo;Aug;60;1999;Agosto;
2000;Espirito Santo;Aug;26;2000;Agosto;
2001;Espirito Santo;Aug;30;2001;Agosto;
2002;Espirito Santo;Aug;60;2002;Agosto;
2003;Espirito Santo;Aug;118;2003;Agosto;
2004;Espirito Santo;Aug;12;2004;Agosto;
2005;Espirito Santo;Aug;12;2005;Agosto;
2006;Espirito Santo;Aug;29;2006;Agosto;
2007;Espirito Santo;Aug;82;2007;Agosto;
2008;Espirito Santo;Aug;13;2008;Agosto;
2009;Espirito Santo;Aug;17;2009;Agosto;
2010;Espirito Santo;Aug;39;2010;Agosto;
2011;Espirito Santo;Aug;93;2011;Agosto;
2012;Espirito Santo;Aug;12;2012;Agosto;
2013;Espirito Santo;Aug;53;2013;Agosto;
2014;Espirito Santo;Aug;47;2014;Agosto;
2015;Espirito Santo;Aug;35;2015;Agosto;
2016;Espirito Santo;Aug;78;2016;Agosto;
2017;Espirito Santo;Aug;30;2017;Agosto;
1998;Espirito Santo;Sept;108;1998;Setembro;
1999;Espirito Santo;Sept;64;1999;Setembro;
2000;Espirito Santo;Sept;14;2000;Setembro;
2001;Espirito Santo;Sept;38;2001;Setembro;
2002;Espirito Santo;Sept;46;2002;Setembro;
2003;Espirito Santo;Sept;252;2003;Setembro;
2004;Espirito Santo;Sept;47;2004;Setembro;
2005;Espirito Santo;Sept;8;2005;Setembro;
2006;Espirito Santo;Sept;87;2006;Setembro;
2007;Espirito Santo;Sept;63;2007;Setembro;
2008;Espirito Santo;Sept;78;2008;Setembro;
2009;Espirito Santo;Sept;57;2009;Setembro;
2010;Espirito Santo;Sept;53;2010;Setembro;
2011;Espirito Santo;Sept;108;2011;Setembro;
2012;Espirito Santo;Sept;48;2012;Setembro;
2013;Espirito Santo;Sept;30;2013;Setembro;
2014;Espirito Santo;Sept;61;2014;Setembro;
2015;Espirito Santo;Sept;228;2015;Setembro;
2016;Espirito Santo;Sept;128;2016;Setembro;
2017;Espirito Santo;Sept;58;2017;Setembro;
1998;Espirito Santo;Oct;20;1998;Outubro;
1999;Espirito Santo;Oct;23;1999;Outubro;
2000;Espirito Santo;Oct;88;2000;Outubro;
2001;Espirito Santo;Oct;19;2001;Outubro;
2002;Espirito Santo;Oct;113;2002;Outubro;
2003;Espirito Santo;Oct;159;2003;Outubro;
2004;Espirito Santo;Oct;48;2004;Outubro;
2005;Espirito Santo;Oct;62;2005;Outubro;
2006;Espirito Santo;Oct;10;2006;Outubro;
2007;Espirito Santo;Oct;79;2007;Outubro;
2008;Espirito Santo;Oct;100;2008;Outubro;
2009;Espirito Santo;Oct;13;2009;Outubro;
2010;Espirito Santo;Oct;32;2010;Outubro;
2011;Espirito Santo;Oct;38;2011;Outubro;
2012;Espirito Santo;Oct;62;2012;Outubro;
2013;Espirito Santo;Oct;37;2013;Outubro;
2014;Espirito Santo;Oct;89;2014;Outubro;
2015;Espirito Santo;Oct;307;2015;Outubro;
2016;Espirito Santo;Oct;58;2016;Outubro;
2017;Espirito Santo;Oct;56;2017;Outubro;
1998;Espirito Santo;Nov;4;1998;Novembro;
1999;Espirito Santo;Nov;9;1999;Novembro;
2000;Espirito Santo;Nov;3;2000;Novembro;
2001;Espirito Santo;Nov;3;2001;Novembro;
2002;Espirito Santo;Nov;22;2002;Novembro;
2003;Espirito Santo;Nov;49;2003;Novembro;
2004;Espirito Santo;Nov;42;2004;Novembro;
2005;Espirito Santo;Nov;0;2005;Novembro;
2006;Espirito Santo;Nov;0;2006;Novembro;
2007;Espirito Santo;Nov;112;2007;Novembro;
2008;Espirito Santo;Nov;3;2008;Novembro;
2009;Espirito Santo;Nov;18;2009;Novembro;
2010;Espirito Santo;Nov;3;2010;Novembro;
2011;Espirito Santo;Nov;6;2011;Novembro;
2012;Espirito Santo;Nov;7;2012;Novembro;
2013;Espirito Santo;Nov;11;2013;Novembro;
2014;Espirito Santo;Nov;20;2014;Novembro;
2015;Espirito Santo;Nov;141;2015;Novembro;
2016;Espirito Santo;Nov;8;2016;Novembro;
2017;Espirito Santo;Nov;3;2017;Novembro;
1998;Espirito Santo;Dec;5;1998;Dezembro;
1999;Espirito Santo;Dec;0;1999;Dezembro;
2000;Espirito Santo;Dec;3;2000;Dezembro;
2001;Espirito Santo;Dec;1;2001;Dezembro;
2002;Espirito Santo;Dec;12;2002;Dezembro;
2003;Espirito Santo;Dec;18;2003;Dezembro;
2004;Espirito Santo;Dec;9;2004;Dezembro;
2005;Espirito Santo;Dec;5;2005;Dezembro;
2006;Espirito Santo;Dec;0;2006;Dezembro;
2007;Espirito Santo;Dec;14;2007;Dezembro;
2008;Espirito Santo;Dec;1;2008;Dezembro;
2009;Espirito Santo;Dec;32;2009;Dezembro;
2010;Espirito Santo;Dec;10;2010;Dezembro;
2011;Espirito Santo;Dec;1;2011;Dezembro;
2012;Espirito Santo;Dec;18;2012;Dezembro;
2013;Espirito Santo;Dec;9;2013;Dezembro;
2014;Espirito Santo;Dec;28;2014;Dezembro;
2015;Espirito Santo;Dec;61;2015;Dezembro;
2016;Espirito Santo;Dec;12;2016;Dezembro;
1998;Goias;Jan;0;1998;Janeiro;
1999;Goias;Jan;14;1999;Janeiro;
2000;Goias;Jan;10;2000;Janeiro;
2001;Goias;Jan;29;2001;Janeiro;
2002;Goias;Jan;12;2002;Janeiro;
2003;Goias;Jan;14;2003;Janeiro;
2004;Goias;Jan;10;2004;Janeiro;
2005;Goias;Jan;27;2005;Janeiro;
2006;Goias;Jan;85;2006;Janeiro;
2007;Goias;Jan;28;2007;Janeiro;
2008;Goias;Jan;23;2008;Janeiro;
2009;Goias;Jan;30;2009;Janeiro;
2010;Goias;Jan;59;2010;Janeiro;
2011;Goias;Jan;39;2011;Janeiro;
2012;Goias;Jan;21;2012;Janeiro;
2013;Goias;Jan;33;2013;Janeiro;
2014;Goias;Jan;80;2014;Janeiro;
2015;Goias;Jan;118;2015;Janeiro;
2016;Goias;Jan;52;2016;Janeiro;
2017;Goias;Jan;53;2017;Janeiro;
1998;Goias;Feb;0;1998;Fevereiro;
1999;Goias;Feb;334;1999;Fevereiro;
2000;Goias;Feb;11;2000;Fevereiro;
2001;Goias;Feb;9;2001;Fevereiro;
2002;Goias;Feb;9;2002;Fevereiro;
2003;Goias;Feb;47;2003;Fevereiro;
2004;Goias;Feb;11;2004;Fevereiro;
2005;Goias;Feb;84;2005;Fevereiro;
2006;Goias;Feb;21;2006;Fevereiro;
2007;Goias;Feb;13;2007;Fevereiro;
2008;Goias;Feb;25;2008;Fevereiro;
2009;Goias;Feb;29;2009;Fevereiro;
2010;Goias;Feb;86;2010;Fevereiro;
2011;Goias;Feb;45;2011;Fevereiro;
2012;Goias;Feb;37;2012;Fevereiro;
2013;Goias;Feb;86;2013;Fevereiro;
2014;Goias;Feb;44;2014;Fevereiro;
2015;Goias;Feb;53;2015;Fevereiro;
2016;Goias;Feb;117;2016;Fevereiro;
2017;Goias;Feb;75;2017;Fevereiro;
1998;Goias;Mar;0;1998;Março;
1999;Goias;Mar;1;1999;Março;
2000;Goias;Mar;4;2000;Março;
2001;Goias;Mar;10;2001;Março;
2002;Goias;Mar;48;2002;Março;
2003;Goias;Mar;29;2003;Março;
2004;Goias;Mar;36;2004;Março;
2005;Goias;Mar;36;2005;Março;
2006;Goias;Mar;29;2006;Março;
2007;Goias;Mar;49;2007;Março;
2008;Goias;Mar;20;2008;Março;
2009;Goias;Mar;32;2009;Março;
2010;Goias;Mar;65;2010;Março;
2011;Goias;Mar;19;2011;Março;
2012;Goias;Mar;57;2012;Março;
2013;Goias;Mar;79;2013;Março;
2014;Goias;Mar;80;2014;Março;
2015;Goias;Mar;76;2015;Março;
2016;Goias;Mar;136;2016;Março;
2017;Goias;Mar;115;2017;Março;
1998;Goias;Apr;0;1998;Abril;
1999;Goias;Apr;25;1999;Abril;
2000;Goias;Apr;16;2000;Abril;
2001;Goias;Apr;49;2001;Abril;
2002;Goias;Apr;78;2002;Abril;
2003;Goias;Apr;87;2003;Abril;
2004;Goias;Apr;32;2004;Abril;
2005;Goias;Apr;55;2005;Abril;
2006;Goias;Apr;22;2006;Abril;
2007;Goias;Apr;17;2007;Abril;
2008;Goias;Apr;36;2008;Abril;
2009;Goias;Apr;11;2009;Abril;
2010;Goias;Apr;105;2010;Abril;
2011;Goias;Apr;71;2011;Abril;
2012;Goias;Apr;89;2012;Abril;
2013;Goias;Apr;42;2013;Abril;
2014;Goias;Apr;138;2014;Abril;
2015;Goias;Apr;89;2015;Abril;
2016;Goias;Apr;167;2016;Abril;
2017;Goias;Apr;60;2017;Abril;
1998;Goias;May;0;1998;Maio;
1999;Goias;May;99;1999;Maio;
2000;Goias;May;58;2000;Maio;
2001;Goias;May;85;2001;Maio;
2002;Goias;May;171;2002;Maio;
2003;Goias;May;57;2003;Maio;
2004;Goias;May;157;2004;Maio;
2005;Goias;May;164;2005;Maio;
2006;Goias;May;33;2006;Maio;
2007;Goias;May;94;2007;Maio;
2008;Goias;May;41;2008;Maio;
2009;Goias;May;104;2009;Maio;
2010;Goias;May;239;2010;Maio;
2011;Goias;May;136;2011;Maio;
2012;Goias;May;103;2012;Maio;
2013;Goias;May;150;2013;Maio;
2014;Goias;May;210;2014;Maio;
2015;Goias;May;129;2015;Maio;
2016;Goias;May;233;2016;Maio;
2017;Goias;May;135;2017;Maio;
1998;Goias;June;172;1998;Junho;
1999;Goias;June;250;1999;Junho;
2000;Goias;June;222;2000;Junho;
2001;Goias;June;212;2001;Junho;
2002;Goias;June;302;2002;Junho;
2003;Goias;June;321;2003;Junho;
2004;Goias;June;422;2004;Junho;
2005;Goias;June;189;2005;Junho;
2006;Goias;June;70;2006;Junho;
2007;Goias;June;186;2007;Junho;
2008;Goias;June;55;2008;Junho;
2009;Goias;June;179;2009;Junho;
2010;Goias;June;278;2010;Junho;
2011;Goias;June;314;2011;Junho;
2012;Goias;June;245;2012;Junho;
2013;Goias;June;192;2013;Junho;
2014;Goias;June;318;2014;Junho;
2015;Goias;June;277;2015;Junho;
2016;Goias;June;289;2016;Junho;
2017;Goias;June;442;2017;Junho;
1998;Goias;July;512;1998;Julho;
1999;Goias;July;311;1999;Julho;
2000;Goias;July;332;2000;Julho;
2001;Goias;July;371;2001;Julho;
2002;Goias;July;686;2002;Julho;
2003;Goias;July;322;2003;Julho;
2004;Goias;July;778;2004;Julho;
2005;Goias;July;363;2005;Julho;
2006;Goias;July;169;2006;Julho;
2007;Goias;July;399;2007;Julho;
2008;Goias;July;193;2008;Julho;
2009;Goias;July;470;2009;Julho;
2010;Goias;July;941;2010;Julho;
2011;Goias;July;607;2011;Julho;
2012;Goias;July;564;2012;Julho;
2013;Goias;July;350;2013;Julho;
2014;Goias;July;446;2014;Julho;
2015;Goias;July;347;2015;Julho;
2016;Goias;July;837;2016;Julho;
2017;Goias;July;577;2017;Julho;
1998;Goias;Aug;2.218;1998;Agosto;
1999;Goias;Aug;1.198;1999;Agosto;
2000;Goias;Aug;925;2000;Agosto;
2001;Goias;Aug;787;2001;Agosto;
2002;Goias;Aug;1.428;2002;Agosto;
2003;Goias;Aug;902;2003;Agosto;
2004;Goias;Aug;1.498;2004;Agosto;
2005;Goias;Aug;639;2005;Agosto;
2006;Goias;Aug;588;2006;Agosto;
2007;Goias;Aug;2.382;2007;Agosto;
2008;Goias;Aug;568;2008;Agosto;
2009;Goias;Aug;647;2009;Agosto;
2010;Goias;Aug;2.914;2010;Agosto;
2011;Goias;Aug;1.613;2011;Agosto;
2012;Goias;Aug;912;2012;Agosto;
2013;Goias;Aug;488;2013;Agosto;
2014;Goias;Aug;1.255;2014;Agosto;
2015;Goias;Aug;943;2015;Agosto;
2016;Goias;Aug;1.032;2016;Agosto;
2017;Goias;Aug;1.492;2017;Agosto;
1998;Goias;Sept;2.867;1998;Setembro;
1999;Goias;Sept;1.898;1999;Setembro;
2000;Goias;Sept;1.293;2000;Setembro;
2001;Goias;Sept;1.863;2001;Setembro;
2002;Goias;Sept;3.52;2002;Setembro;
2003;Goias;Sept;1.662;2003;Setembro;
2004;Goias;Sept;2.965;2004;Setembro;
2005;Goias;Sept;1.341;2005;Setembro;
2006;Goias;Sept;1.463;2006;Setembro;
2007;Goias;Sept;3.745;2007;Setembro;
2008;Goias;Sept;1.255;2008;Setembro;
2009;Goias;Sept;685;2009;Setembro;
2010;Goias;Sept;5.075;2010;Setembro;
2011;Goias;Sept;2.259;2011;Setembro;
2012;Goias;Sept;2.452;2012;Setembro;
2013;Goias;Sept;684;2013;Setembro;
2014;Goias;Sept;1.687;2014;Setembro;
2015;Goias;Sept;2.296;2015;Setembro;
2016;Goias;Sept;1.703;2016;Setembro;
2017;Goias;Sept;3.238;2017;Setembro;
1998;Goias;Oct;1.034;1998;Outubro;
